"","Accession_number","ED","edge.length","Species","Country","City","Host","Collection.date","lat","lon","extracted_precip","extracted_temp","sum_extracted_values","heterogeneity","Geo_location","num_occurrences","DR"
"19","MK540683.1",0.00419717727921939,0.000737660082331254,"Lyssavirus rabies","USA"," New York","Procyon lotor","1992",40.7127281,-74.0060152,31.6479328588108,0.676737034443727,13972,34805.5593220339,"USA:  New York",142,238.255363896848
"20","MF143321.2",0.00481204961822773,0.000368341083705218,"Lyssavirus rabies","USA"," Hanover, Chautauqua, NY","Mephitidae","29/09/2010",42.5030037,-79.1058731,42.2741088867188,0.391301155090332,86,37451.6666666667,"USA:  Hanover, Chautauqua, NY",1,207.811656017025
"21","ON986464.1",0.00365049767030624,2.62752992855764e-05,"Lyssavirus rabies","USA"," Tolland,CT","Procyon lotor","22/05/2019",41.818446,-72.3562252,22.0279541015625,0.653730869293213,9,37539,"USA:  Tolland,CT",9,273.935252207985
"22","ON986457.1",0.00365049767030624,0.00428995434400702,"Lyssavirus rabies","USA"," Tolland,CT","Procyon lotor","04/12/2018",41.818446,-72.3562252,22.0279541015625,0.653730869293213,9,37539,"USA:  Tolland,CT",9,273.935252207985
"23","MF143303.2",0.0029729775976017,0.000508257833409125,"Lyssavirus rabies","USA"," Kendall, Orleans, NY","Procyon lotor","13/08/2004",43.327281,-78.03585,7.634033203125,0.349556605021159,55,44726,"USA:  Kendall, Orleans, NY",3,336.363113131663
"24","MF143293.2",0.0029729775976017,0.00378169651059789,"Lyssavirus rabies","USA"," Kendall, Orleans, NY","Procyon lotor","06/06/2003",43.327281,-78.03585,7.634033203125,0.349556605021159,55,44726,"USA:  Kendall, Orleans, NY",3,336.363113131663
"25","MF143312.2",0.00463453517575395,0.00378169651059789,"Lyssavirus rabies","USA"," Yates, Orleans, NY","Procyon lotor","04/05/2010",43.3394606,-78.388284,13.9857584635417,0.320516586303711,80,43305.5,"USA:  Yates, Orleans, NY",1,215.771369096863
"26","MF143335.2",0.00634885073762644,0.00431622964329259,"Lyssavirus rabies","USA"," Sandy Creek, Oswego, NY","Urocyon cinereoargenteus","21/10/2011",43.6441944,-76.0863182,55.5788167317708,0.632429917653402,53,33387,"USA:  Sandy Creek, Oswego, NY",1,157.508821883858
"27","MK540736.1",0.00597119188571121,0.00468457072699781,"Lyssavirus rabies","USA"," New York","Procyon lotor","2010",40.7127281,-74.0060152,31.6479328588108,0.676737034443727,13972,34805.5593220339,"USA:  New York",142,167.470752764277
"28","MF143331.2",0.00597119188571121,0.000197676762325005,"Lyssavirus rabies","USA"," Croghan, Lewis, NY","Mephitidae","13/09/2011",43.895913,-75.392647,62.2259521484375,0.639706611633301,109,31544,"USA:  Croghan, Lewis, NY",1,167.470752764277
"29","MN862283.1",0.00625312118344775,0.00522455404700406,"Lyssavirus rabies","USA"," Alabama","Procyon lotor","1991",33.2588817,-86.8295337,149.564254199863,0.24173778728086,35022,31251.9835390946,"USA:  Alabama",1,159.920137586177
"30","MF143306.2",0.00625312118344775,4.73462843250672e-07,"Lyssavirus rabies","USA"," Sterling, Cayuga, NY","Mephitidae","16/11/2004",43.325901,-76.644949,55.4248046875,0.52119493484497,31,38852,"USA:  Sterling, Cayuga, NY",5,159.920137586177
"31","ON986429.1",0.0041089506724291,0.000736850410946027,"Lyssavirus rabies","USA"," Hartford,CT","Feliformia","05/06/2018",41.764582,-72.6908547,22.1953938802083,0.732292175292969,11,39780,"USA:  Hartford,CT",6,243.371137723789
"32","ON986479.1",0.0041089506724291,0.00448723017321478,"Lyssavirus rabies","USA"," NewLondon,CT","Mephitidae","23/08/2019",41.352752,-71.975551,50.4494018554688,0.575386047363281,13,48191,"USA:  NewLondon,CT",5,243.371137723789
"33","ON986484.1",0.004127271323047,0.00448723017321478,"Lyssavirus rabies","USA"," Windham,CT","Marmota monax","17/06/2019",41.8208345,-72.0051201,22.4232788085938,0.652423858642578,4,32116,"USA:  Windham,CT",10,242.290831333507
"34","MF143223.2",0.00138565917236762,3.08858033932552e-05,"Lyssavirus rabies","Canada"," Heathland, Charlotte, NB","Mephitidae","12/09/2000",45.16684,-66.83218,19.4984944661458,0.437642892201741,2,38391,"Canada:  Heathland, Charlotte, NB",1,721.678187494939
"35","MF143225.2",0.00138565917236762,0.000693427174394915,"Lyssavirus rabies","Canada"," St. Stephen, Charlotte, NB","Procyon lotor","07/11/2000",45.192671,-67.2759889,22.7894287109375,0.45180368423462,19,29405.5,"Canada:  St. Stephen, Charlotte, NB",9,721.678187494939
"36","MF143226.2",0.00145456520913082,0.000229024367919021,"Lyssavirus rabies","Canada"," St. Stephen, Charlotte, NB","Mephitidae","16/11/2000",45.192671,-67.2759889,22.7894287109375,0.45180368423462,19,29405.5,"Canada:  St. Stephen, Charlotte, NB",9,687.490662998569
"37","MF143232.2",0.00136207012657138,0.00346285287151783,"Lyssavirus rabies","Canada"," Cockerhill, Charlotte, NB","Procyon lotor","21/06/2001",45.16684,-66.83218,19.4984944661458,0.437642892201741,2,38391,"Canada:  Cockerhill, Charlotte, NB",1,734.176589363435
"38","MF143227.2",0.00136207012657138,0.000807890366935789,"Lyssavirus rabies","Canada"," St. George, Charlotte, NB","Procyon lotor","16/11/2000",45.1275604,-66.8269836,18.2420654296875,0.436604976654053,1,38391,"Canada:  St. George, Charlotte, NB",1,734.176589363435
"39","MF143233.2",0.00158356148586224,0.000807890366935789,"Lyssavirus rabies","Canada"," St. Stephen, Charlotte, NB","Procyon lotor","22/08/2001",45.192671,-67.2759889,22.7894287109375,0.45180368423462,19,29405.5,"Canada:  St. Stephen, Charlotte, NB",9,631.487952269504
"40","MN418179.1",0.00461240305056329,9.46939795986677e-05,"Lyssavirus rabies","USA"," Woodstock, VT","Procyon lotor","19/08/2017",43.6247646,-72.5189791,1.1519775390625,0.800542990366618,3,27462,"USA:  Woodstock, VT",1,216.806725049294
"41","MF143229.2",0.00461240305056329,0.00417604925885495,"Lyssavirus rabies","Canada"," St. Stephen, Charlotte, NB","Mephitidae","02/01/2001",45.192671,-67.2759889,22.7894287109375,0.45180368423462,19,29405.5,"Canada:  St. Stephen, Charlotte, NB",9,216.806725049294
"42","MF143224.2",0.00467809787627474,0.000139361839101741,"Lyssavirus rabies","Canada"," St. Stephen, Charlotte, NB","Mephitidae","31/10/2000",45.192671,-67.2759889,22.7894287109375,0.45180368423462,19,29405.5,"Canada:  St. Stephen, Charlotte, NB",9,213.762094434057
"43","MN418150.1",0.00509645402713166,0.00403668741975321,"Lyssavirus rabies","USA"," New London, CT","Procyon lotor","01/02/2016",41.3556187,-72.0997804,51.365478515625,0.581899642944336,18,42049,"USA:  New London, CT",1,196.21485736482
"44","ON986445.1",0.00509645402713166,0.00403668741975321,"Lyssavirus rabies","USA"," NewHaven,CT","Procyon lotor","24/02/2018",41.231898,-72.990299,40.1915283203125,0.649325370788574,1,40770,"USA:  NewHaven,CT",9,196.21485736482
"45","MF143205.2",0.0052205984135902,4.05205914762452e-05,"Lyssavirus rabies","USA"," Southport Island, Lincoln, ME","Procyon lotor","25/06/2013",43.8182153,-69.6664981,4.5322265625,0.568573951721191,0,48196,"USA:  Southport Island, Lincoln, ME",1,191.548922322164
"46","MF143230.2",0.00485679528300108,0.000113832505557015,"Lyssavirus rabies","Canada"," Little Ridge, Charlotte, NB","Procyon lotor","11/04/2001",45.16684,-66.83218,19.4984944661458,0.437642892201741,2,38391,"Canada:  Little Ridge, Charlotte, NB",1,205.897086809491
"47","MF143198.2",0.00430691675438156,0.00122974467801667,"Lyssavirus rabies","USA"," Windham, Cumberland, ME","Mephitidae","17/04/2013",43.7894155,-70.4083434,-7.76409912109375,0.621438503265381,12,37915.25,"USA:  Windham, Cumberland, ME",2,232.184659474244
"48","MF143207.2",0.00430691675438156,0.00311566983132271,"Lyssavirus rabies","USA"," South Portland, Cumberland, ME","Urocyon cinereoargenteus","31/07/2013",43.6414716,-70.2408811,0.33428955078125,0.618629455566406,12,42578,"USA:  South Portland, Cumberland, ME",1,232.184659474244
"49","MF143231.2",0.00467312399188498,0.00311566983132271,"Lyssavirus rabies","Canada"," Dufferin, Charlotte, NB","Procyon lotor","26/04/2001",45.1820429,-67.2145491,22.7894287109375,0.45180368423462,19,29405.5,"Canada:  Dufferin, Charlotte, NB",1,213.989614171704
"50","MF143208.2",0.00463517170894931,0.00434541450933938,"Lyssavirus rabies","USA"," Monmouth, Kennebec, ME","Procyon lotor","19/08/2013",44.238804,-70.035782,-12.5873413085938,0.580963850021363,17,36091,"USA:  Monmouth, Kennebec, ME",1,215.741737910002
"51","ON986453.1",0.0032042719006025,0.00247488056991901,"Lyssavirus rabies","USA"," NewHaven,CT","Procyon lotor","27/07/2018",41.231898,-72.990299,40.1915283203125,0.649325370788574,1,40770,"USA:  NewHaven,CT",9,312.083378383704
"52","ON986434.1",0.0032042719006025,0.00198436644497739,"Lyssavirus rabies","USA"," Tolland,CT","Procyon lotor","21/03/2017",41.818446,-72.3562252,22.0279541015625,0.653730869293213,9,37539,"USA:  Tolland,CT",9,312.083378383704
"53","ON986474.1",0.0032164288636711,0.00198436644497739,"Lyssavirus rabies","USA"," Hartford,CT","Mephitidae","06/02/2017",41.764582,-72.6908547,22.1953938802083,0.732292175292969,11,39780,"USA:  Hartford,CT",6,310.903813634678
"54","MF143206.2",0.00339466998038536,0.00136485556447232,"Lyssavirus rabies","USA"," Stow, Oxford, ME","Procyon lotor","19/07/2013",44.161026,-70.985413,-2.26949055989583,0.633183638254801,30,35274.25,"USA:  Stow, Oxford, ME",1,294.579445359363
"55","MF143196.2",0.00339466998038536,0.0033231151563045,"Lyssavirus rabies","USA"," Skowhegan, Somerset, ME","Procyon lotor","22/03/2013",44.765262,-69.719238,-2.646484375,0.558213551839193,7,30360,"USA:  Skowhegan, Somerset, ME",1,294.579445359363
"56","MF143218.2",0.00336845617820856,0.000505224059990733,"Lyssavirus rabies","USA"," Sidney, Kennebec, ME","Procyon lotor","13/05/2014",44.446526,-69.740524,-7.31866455078125,0.564967393875122,22,36315,"USA:  Sidney, Kennebec, ME",2,296.871904247787
"57","MF143216.2",0.00225359070425849,0.000505224059990733,"Lyssavirus rabies","USA"," Cornville, Somerset, ME","Mephitidae","07/05/2014",44.8367272,-69.6731067,-2.3602294921875,0.54953654607137,4,30233,"USA:  Cornville, Somerset, ME",2,443.736299635224
"58","MN418184.1",0.00130139838906675,0.00382833921629524,"Lyssavirus rabies","USA"," Washington, ME","Procyon lotor","15/12/2017",44.9744397,-67.6287553,16.4774169921875,0.448210557301839,0,31110.25,"USA:  Washington, ME",1,768.404209196168
"59","MF143245.2",0.000991545878352875,0.000379008055787371,"Lyssavirus rabies","Canada"," Waweig, Charlotte, NB","Procyon lotor","14/04/2015",45.2304697,-67.126685,24.9119059244792,0.449320316314698,0,30754,"Canada:  Waweig, Charlotte, NB",4,1008.52620320622
"60","MF143246.2",0.000959562976330569,0.00598123443775736,"Lyssavirus rabies","Canada"," Waweig, Charlotte, NB","Procyon lotor","05/05/2015",45.2304697,-67.126685,24.9119059244792,0.449320316314698,0,30754,"Canada:  Waweig, Charlotte, NB",4,1042.14108366713
"61","MF143247.2",0.000959562976330569,0.00012273043593129,"Lyssavirus rabies","Canada"," Valley Road, Charlotte, NB","Procyon lotor","07/05/2015",45.0641788,-66.7945754,13.6978759765625,0.437613725662232,0,38391,"Canada:  Valley Road, Charlotte, NB",2,1042.14108366713
"63","MF143217.2",0.0011240070914099,0.00528728195189255,"Lyssavirus rabies","USA"," Charlotte, Washington, ME","Procyon lotor","08/05/2014",45.021612,-67.245941,12.519287109375,0.445579767227173,5,31140.25,"USA:  Charlotte, Washington, ME",1,889.67410227426
"64","MF143254.2",0.0011240070914099,0.00528728195189255,"Lyssavirus rabies","Canada"," McAdam, York, NB","Procyon lotor","01/09/2015",45.5892718,-67.326212,34.1838989257812,0.448668956756591,1,31901.5,"Canada:  McAdam, York, NB",1,889.67410227426
"65","MN418180.1",0.00112850609171742,7.36345446043351e-06,"Lyssavirus rabies","USA"," Cutler, ME","Mephitis mephitis","06/12/2017",44.6573652,-67.2038307,10.4791259765625,0.410149097442627,10,32112,"USA:  Cutler, ME",1,886.127250299685
"66","MF143236.2",0.00112850609171742,0.00585114054736563,"Lyssavirus rabies","Canada"," Oak Bay, Charlotte, NB","Procyon lotor","22/01/2015",45.2345003,-67.1947193,24.715087890625,0.451013088226319,5,29136,"Canada:  Oak Bay, Charlotte, NB",1,886.127250299685
"67","MF143235.2",0.00110873024455354,0.00585114054736563,"Lyssavirus rabies","Canada"," St. Stephen, Charlotte, NB","Procyon lotor","02/06/2014",45.192671,-67.2759889,22.7894287109375,0.45180368423462,19,29405.5,"Canada:  St. Stephen, Charlotte, NB",9,901.932643140514
"68","MF143243.2",0.0010523027724419,1.70465691372648e-06,"Lyssavirus rabies","Canada"," St. Stephen, Charlotte, NB","Procyon lotor","18/03/2015",45.192671,-67.2759889,22.7894287109375,0.45180368423462,19,29405.5,"Canada:  St. Stephen, Charlotte, NB",9,950.29684059415
"69","MF143237.2",0.0010523027724419,0.000901808940951014,"Lyssavirus rabies","Canada"," Waweig, Charlotte, NB","Procyon lotor","03/03/2015",45.2304697,-67.126685,24.9119059244792,0.449320316314698,0,30754,"Canada:  Waweig, Charlotte, NB",4,950.29684059415
"70","MF143209.2",0.00214573038169272,1.73263576157875e-05,"Lyssavirus rabies","USA"," Franklin, Hancock, ME","Mephitidae","11/10/2013",44.5870207,-68.2322375,10.3402099609375,0.464654922485352,2,32998.3333333333,"USA:  Franklin, Hancock, ME",1,466.041776978113
"71","MF143240.2",0.00214573038169272,0.00072881507387604,"Lyssavirus rabies","Canada"," Bocabec, Charlotte, NB","Procyon lotor","10/03/2015",45.1781026,-66.9888377,22.0361938476562,0.438889026641845,0,35825,"Canada:  Bocabec, Charlotte, NB",2,466.041776978113
"72","MF143203.2",0.00332793748606088,6.3801854971084e-06,"Lyssavirus rabies","USA"," Hiram, Oxford, ME","Vulpes vulpes","06/06/2013",43.8787168,-70.8031838,-8.66634114583333,0.646711667378743,0,33388,"USA:  Hiram, Oxford, ME",1,300.486413638632
"73","MF143213.2",0.00320381510430572,9.88759975079547e-05,"Lyssavirus rabies","USA"," North Yarmouth, Cumberland, ME","Procyon lotor","27/02/2014",43.8289389,-70.2487493,-1.19464111328125,0.602280378341675,15,36412,"USA:  North Yarmouth, Cumberland, ME",1,312.127874875197
"74","MF143214.2",0.00320381510430572,1.7919647778239e-05,"Lyssavirus rabies","USA"," Old Town, Penobscot, ME","Mephitidae","22/04/2014",44.9354209,-68.6464233,-6.6142578125,0.507289409637451,14,31757,"USA:  Old Town, Penobscot, ME",1,312.127874875197
"75","MF143238.2",0.0032608477766869,0.00147763098073364,"Lyssavirus rabies","Canada"," Bayside, Charlotte, NB","Procyon lotor","04/03/2015",45.1365962,-67.1137345,19.1098022460938,0.442226886749268,1,32711,"Canada:  Bayside, Charlotte, NB",2,306.668715770604
"76","MF143212.2",0.00325026157517754,3.66413012357894e-05,"Lyssavirus rabies","USA"," Scarborough, Cumberland, ME","Mephitidae","31/12/2013",43.5909038,-70.3395776,-1.752197265625,0.620091438293457,50,42578,"USA:  Scarborough, Cumberland, ME",1,307.667545171461
"77","MF143195.2",0.00251866758322664,0.00329727522300486,"Lyssavirus rabies","USA"," Litchfield, Kennebec, ME","Procyon lotor","21/03/2013",44.1545301,-69.9467325,-8.60067749023438,0.562862038612366,10,36778.75,"USA:  Litchfield, Kennebec, ME",1,397.035324017992
"78","MF143222.2",0.0013834114168367,0.00329727522300486,"Lyssavirus rabies","USA"," Baileyville, Washington, ME","Procyon lotor","11/07/2014",45.1570187,-67.4047167,21.5408935546875,0.448986053466797,3,31529,"USA:  Baileyville, Washington, ME",1,722.85076429873
"79","MF143242.2",0.00129730132570753,0.00333391652424065,"Lyssavirus rabies","Canada"," Burnt Hill, Charlotte, NB","Procyon lotor","18/03/2015",45.1773953,-67.3570667,23.4443359375,0.4548020362854,20,29405.5,"Canada:  Burnt Hill, Charlotte, NB",1,770.830939723751
"80","MF143239.2",0.00129730132570753,0.000488543363169025,"Lyssavirus rabies","Canada"," St. Stephen, Charlotte, NB","Procyon lotor","04/03/2015",45.192671,-67.2759889,22.7894287109375,0.45180368423462,19,29405.5,"Canada:  St. Stephen, Charlotte, NB",9,770.830939723751
"81","MF143194.2",0.00153539637075816,5.05129930648942e-05,"Lyssavirus rabies","USA"," Milford, Penobscot, ME","Mephitidae","28/02/2013",44.946179,-68.6439202,-6.6142578125,0.507289409637451,20,31757,"USA:  Milford, Penobscot, ME",1,651.297618676937
"82","MF143199.2",0.00153539637075816,0.00366040502577685,"Lyssavirus rabies","USA"," Mariaville, Hancock, ME","Procyon lotor","17/04/2013",44.7206287,-68.4155785,-0.2698974609375,0.487911701202392,3,35613,"USA:  Mariaville, Hancock, ME",1,651.297618676937
"84","MF143251.2",0.00138593075282018,7.23127066425704e-05,"Lyssavirus rabies","Canada"," Bocabec, Charlotte, NB","Mephitidae","29/07/2015",45.1781026,-66.9888377,22.0361938476562,0.438889026641845,0,35825,"Canada:  Bocabec, Charlotte, NB",2,721.536770841641
"85","MF143250.2",0.00138593075282018,0.000137812073526404,"Lyssavirus rabies","Canada"," Chamcook, Charlotte, NB","Procyon lotor","14/07/2015",45.1267035,-67.0713173,22.251953125,0.444722175598145,1,35825,"Canada:  Chamcook, Charlotte, NB",1,721.536770841641
"86","MF143215.2",0.00212289375097592,0.000300976585749078,"Lyssavirus rabies","USA"," Cornville, Somerset, ME","Procyon lotor","02/05/2014",44.8367272,-69.6731067,-2.3602294921875,0.54953654607137,4,30233,"USA:  Cornville, Somerset, ME",2,471.055133842797
"87","MF143253.2",0.00214170022742829,0.000300976585749078,"Lyssavirus rabies","Canada"," Pennfield, Charlotte, NB","Procyon lotor","18/08/2015",45.1100945,-66.7363835,13.6978759765625,0.437613725662232,10,38391,"Canada:  Pennfield, Charlotte, NB",1,466.918753237832
"88","MF143211.2",0.00246306435306272,0.000438788659275482,"Lyssavirus rabies","USA"," Sidney, Kennebec, ME","Mephitidae","20/12/2013",44.446526,-69.740524,-7.31866455078125,0.564967393875122,22,36315,"USA:  Sidney, Kennebec, ME",2,405.99832430547
"89","MF143204.2",0.00331923454474495,0.000281407107308969,"Lyssavirus rabies","USA"," Waldo, Waldo, ME","Mephitidae","10/06/2013",44.5125736,-69.0761484,-13.5490112304688,0.504437923431396,0,31082,"USA:  Waldo, Waldo, ME",1,301.274280717285
"90","MF143210.2",0.00341088620995805,0.000229694258609084,"Lyssavirus rabies","USA"," New Portland, Franklin, ME","Mephitidae","28/10/2013",44.8515004,-70.1136396,12.3511962890625,0.609414339065552,0,29849,"USA:  New Portland, Franklin, ME",1,293.178938975011
"91","MF143201.2",0.00341088620995805,0.000229694258609084,"Lyssavirus rabies","USA"," Lewistion, Androscoggin, ME","Procyon lotor","26/04/2013",44.62094,-67.832403,16.3883056640625,0.41958737373352,26,30597,"USA:  Lewistion, Androscoggin, ME",1,293.178938975011
"92","MF143202.2",0.00383215837014315,0.000612086122963521,"Lyssavirus rabies","USA"," Farmington, Franklin, ME","Mephitidae","30/04/2013",44.671094,-70.151825,5.85870361328125,0.618147611618042,8,30419,"USA:  Farmington, Franklin, ME",1,260.949549421322
"93","MF143220.2",0.00383215837014315,4.29919135593211e-05,"Lyssavirus rabies","USA"," Naples, Cumberland, ME","Urocyon cinereoargenteus","13/06/2014",43.972063,-70.609818,-10.7622477213542,0.631646792093913,2,34877,"USA:  Naples, Cumberland, ME",1,260.949549421322
"94","ON986483.1",0.00474113850089249,0.00422949923518105,"Lyssavirus rabies","USA"," Middlesex,CT","Marmota monax","01/11/2018",41.4510811,-72.5528113,46.7876892089844,0.624366760253906,2,35238.75,"USA:  Middlesex,CT",6,210.919803294453
"95","MF143192.2",0.00481868860625274,0.00422949923518105,"Lyssavirus rabies","USA"," Wells, York, ME","Procyon lotor","04/02/2013",43.322181,-70.580978,3.4171142578125,0.621261596679688,9,37323,"USA:  Wells, York, ME",1,207.525341791623
"96","OR227629.1",0.00484664526380851,0.00432300414180527,"Lyssavirus rabies","USA"," Washington,RI","Procyon lotor","16/12/2019",41.4619922,-71.7039673,46.2828369140625,0.568154335021973,8,40169.3333333333,"USA:  Washington,RI",1,206.328283909559
"97","MF143193.2",0.00330175468503731,6.46619204023044e-05,"Lyssavirus rabies","USA"," Dixmont, Penobscot, ME","Procyon lotor","13/02/2013",44.6807232,-69.1631738,-17.8482666015625,0.52413010597229,3,30018.5,"USA:  Dixmont, Penobscot, ME",1,302.869260557648
"99","MF143219.2",0.00272398417542249,0.00476480523235023,"Lyssavirus rabies","USA"," Richmond, Sagadahoc, ME","Procyon lotor","22/05/2014",44.0872965,-69.7989349,-3.628662109375,0.549207369486491,11,36108,"USA:  Richmond, Sagadahoc, ME",1,367.109327955219
"100","MF143191.2",0.00252174197918897,0.00492834315026049,"Lyssavirus rabies","USA"," China, Kennebec, ME","Mephitidae","03/01/2013",44.4790605,-69.5175458,-10.3743286132812,0.547879457473755,9,33493,"USA:  China, Kennebec, ME",1,396.551276162526
"101","MF143252.2",0.00243992667466352,5.53984044253273e-05,"Lyssavirus rabies","Canada"," Bayside, Charlotte, NB","Procyon lotor","06/08/2015",45.1365962,-67.1137345,19.1098022460938,0.442226886749268,1,32711,"Canada:  Bayside, Charlotte, NB",2,409.848382078083
"102","MF143221.2",0.00243992667466352,0.000272571340256636,"Lyssavirus rabies","USA"," Deblois, Washington, ME","Procyon lotor","26/06/2014",44.7415506,-68.0149841,12.7349039713542,0.45820681254069,47,30912,"USA:  Deblois, Washington, ME",1,409.848382078083
"103","MF143200.2",0.00402993710423294,4.79012202658606e-05,"Lyssavirus rabies","USA"," Windham, Cumberland, ME","Procyon lotor","25/04/2013",43.7894155,-70.4083434,-7.76409912109375,0.621438503265381,12,37915.25,"USA:  Windham, Cumberland, ME",2,248.14283055426
"104","ON986427.1",0.00402993710423294,0.00455885237080977,"Lyssavirus rabies","USA"," Litchfield,CT","Bos taurus","26/03/2020",41.767249,-73.2543049,-12.5452473958333,0.676048596700032,2,30462,"USA:  Litchfield,CT",6,248.14283055426
"105","MF143197.2",0.00507114691786651,8.33634924478008e-07,"Lyssavirus rabies","USA"," Eliot, York, ME","Mephitidae","12/04/2013",43.1531421,-70.8000557,8.663818359375,0.595156192779541,24,39631,"USA:  Eliot, York, ME",1,197.194050221032
"106","MF143241.2",0.00507114691786651,0.00109812185027179,"Lyssavirus rabies","Canada"," Waweig, Charlotte, NB","Procyon lotor","10/03/2015",45.2304697,-67.126685,24.9119059244792,0.449320316314698,0,30754,"Canada:  Waweig, Charlotte, NB",4,197.194050221032
"107","ON986463.1",0.00493492925995611,0.0034598968856135,"Lyssavirus rabies","USA"," NewLondon,CT","Procyon lotor","13/05/2019",41.352752,-71.975551,50.4494018554688,0.575386047363281,13,48191,"USA:  NewLondon,CT",5,202.63714986036
